sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used
1.327e-08,939.4,58600.0,2.979646696468275,Davide Farnocchia,0.36954,,2640.0802241862843,,,,,1 Ceres,,2.3543e-08,J2000,,0.2,-6778017204000.001,0.09,620.6405326,N,N,2.7786e-11,,522924215944.27673,2000001.0,1.1463e-08,1.9267e-09,1683.145700575484,a0000001,,24437.0,,132.02401120931424,4.6082017811786,2.9918e-12,20190427.0,34.0,2.5823e-11,1.1722e-08,,1.172e-11,0.0,9.07417,,0.12,2017-03-05,3.34,8123022111651.299,,G,2458600.5,5993.0,1.59478,964.4 x 964.2 x 891.8,C,0.07600902762923671,62.873006000000004,20180430.2541287,1.0,MBA,0.426,2.769165146349478,3.309,80.30553084093981,77.37209773768207,Ceres,10.59406732590292,2458238.7541287453,,0.713,C,2.558683596230681,73.59769486239257,2.09753,0.2138852268564227,3.8719e-09,1950-04-09,405.0,5.6278e-11,0.0
4.1741e-06,525.4,58600.0,2.570926338111508,Davide Farnocchia,0.39592,,2649.7975580265224,,,,,4 Vesta,,1.2968e-06,J2000,,0.2,-1939090416666.6665,0.4228,443.4514316,N,N,1.6769e-09,,1.7092704138233867e-44,2000004.0,1.805e-07,2.2072e-07,1325.432764736216,a0000004,,24288.0,,5.2908333333333334e-55,3.62883713822373,2.6574e-10,20190427.0,34.0,1.5403e-09,3.9411e-07,,2.3717e-10,0.0,5.34212766,,0.32,2017-03-23,3.2,2.6454166666666668e-43,,V,2458600.5,9325.0,1.13948,572.6 x 557.2 x 446.4,V,0.08872145950956178,17.652865416666664,20180509.0595802,4.0,MBA,0.492,2.361417895877277,3.535,103.810804427096,95.86193620017683,Vesta,7.141770811873426,2458247.5595801924,,0.782,V,2.151909453643047,150.7285412870121,2.46988,0.2716094015313151,1.2275e-06,1950-09-23,2977.0,1.9617e-09,0.0
9.9851e-05,222.792,58600.0,2.795252244086217,Otto Matic,0.55571,,2644.4310795854663,,,,,13 Egeria,,3.7686e-06,J2000,,7.87,-85597465725.0,0.07,558.9765461,N,N,4.6504e-09,,6614730010.766661,2000013.0,2.7576e-05,4.0952e-06,1510.123386058998,a0000013,,61297.0,,132.24155397927333,4.13449250118822,5.9491e-10,20190427.0,86.0,4.2856e-09,1.3182e-05,,3.3657e-08,0.0,7.045,,,2018-09-18,6.74,102583113299.73561,,G,2458600.5,2352.0,1.43633,,Ch,0.08512141377834759,0.7940035875,20210419.6490003,13.0,MBA,0.452,2.575981091694859,3.364,43.2219168881917,187.4885068952582,Egeria,16.53612293574766,2459324.149000282,,0.745,Ch,2.356709939303502,80.54483120895175,2.35787,0.2383911164633375,2.3776e-05,1850-11-21,,8.6503e-08,
8.6301e-05,167.536,58600.0,3.199562423976596,Otto Matic,0.45122,,2637.2823155100186,,,,,22 Kalliope,,6.7873e-06,J2000,,3.053,112808000000.00002,0.166,639.4880357,N,N,7.9648e-09,,506985295.6231028,2000022.0,1.9569e-05,4.0906e-06,1817.7013762918,a0000022,,60026.0,,131.8798833445676,4.97659514385161,7.3953e-10,20190427.0,93.0,7.2561e-09,1.2151e-05,,3.8206e-08,0.0,4.1483,,0.21,2018-08-18,6.45,7883784533.333333,,M,2458600.5,2853.0,1.64321,,X,0.09767687508287445,0.5249426666666667,20210730.1786885,22.0,MBA,0.234,2.914849074993066,3.232,66.05276989131626,196.5714348128383,Kalliope,13.71531285364466,2459425.678688517,,0.715,X,2.630135726009536,356.082080322098,2.12719,0.1980523339507052,1.6844e-05,1854-04-14,,1.0898e-07,
0.00012261,94.8,58600.0,2.893605184535973,Otto Matic,0.52805,,2642.6659789817754,,,,,26 Proserpina,,7.3487e-06,J2000,,1.7,-5482840000000000.0,0.1966,545.9549179,N,N,8.9748e-09,,4.820009188036193e-41,2000026.0,8.04e-05,3.4829e-06,1579.541417150724,a0000026,,57607.0,,1.4960000000000004e-51,4.32454871225386,1.0604e-09,20190427.0,114.0,8.2327e-09,7.5853e-05,,3.4759e-08,0.0,13.11,,,2018-10-22,7.4,7.480000000000003e-40,,S,2458600.5,2101.0,1.40287,,S,0.09014486420558818,0.04991404,20180118.1255138,26.0,MBA,0.525,2.654330887156547,3.38,45.7779967812011,105.7236063695161,Proserpina,3.563413748183849,2458136.6255138023,,0.891,S,2.415056589777122,193.4497837380755,2.10282,0.2279142516246206,2.806e-05,1861-01-31,,9.1971e-08,
9.8615e-05,189.559,58600.0,2.739786226404876,Otto Matic,0.52878,,2644.8749325256995,,,,,29 Amphitrite,,3.8653e-06,J2000,,1.129,-93395476923.07693,0.216,539.817707,N,N,4.7354e-09,,8.217335228719887e-46,2000029.0,3.9903e-05,3.1187e-06,1490.935076546338,a0000029,,59585.0,,2.548307692307693e-56,4.08195777288525,6.26e-10,20190427.0,143.0,4.4144e-09,3.1822e-05,,3.1187e-08,0.0,5.3921,,0.2,2018-09-13,5.85,1.2741538461538465e-44,,S,2458600.5,2281.0,1.3871,,S,0.07269553868568869,0.8502428615384616,20200305.778414,29.0,MBA,0.449,2.554113564937332,3.427,356.3417299777814,284.2353132469576,Amphitrite,6.082522456884492,2458914.27841401,,0.838,S,2.368440903469788,63.36327805410182,2.47768,0.2414592061472713,2.3784e-05,1855-07-25,,7.9647e-08,
0.00014114,80.76,58600.0,2.797921576038474,Otto Matic,0.576,,2644.112256161294,,,,,32 Pomona,,7.7589e-06,J2000,,1.6,-6.848111638758519e+17,0.2564,535.9026568,N,N,9.5142e-09,,6.023525326876642e-39,2000032.0,6.0573e-05,5.011e-06,1521.152075797587,a0000032,,56404.0,,1.8685161360869085e-49,4.16468740807005,1.2071e-09,20190427.0,102.0,8.8021e-09,5.1751e-05,,4.7501e-08,0.0,9.448,,,2018-06-12,7.56,9.342580680434543e-38,,S,2458600.5,2019.0,1.37704,,S,0.08090136585501478,,20181213.120259,32.0,MBA,0.429,2.588507762523976,3.41,220.4415433252172,31.92100747154975,Pomona,5.52395114567172,2458465.620258953,,0.857,S,2.379093949009478,339.5358021476744,2.16968,0.2366627280255597,3.3449e-05,1864-01-07,,1.2438e-07,
0.00012318,111.251,58600.0,2.373855461734438,Otto Matic,0.42036,,2652.1584711331325,,,,,40 Harmonia,,2.2569e-06,J2000,,0.391,-1.7901675110697533e+18,0.22,452.0559803,N,N,2.8643e-09,,1.579403737069029e-38,2000040.0,5.7164e-05,3.2256e-06,1246.942830846745,a0000040,,56235.0,,4.884495255306285e-49,3.41394341094249,5.2253e-10,20190427.0,113.0,2.7357e-09,4.5087e-05,,3.0362e-08,0.0,8.91,,,2018-09-15,7.0,2.4422476276531426e-37,,S,2458600.5,5019.0,1.16159,,S,0.0470213280628561,,20180419.562619,40.0,MBA,0.432,2.26724651934877,3.61,94.18885502985238,107.5249432813363,Harmonia,4.257400612736195,2458228.0626189946,,0.854,S,2.160637576963103,269.7316206155986,2.79762,0.2887060987034502,3.5594e-05,1864-09-27,,6.9049e-08,
9.4547e-05,202.327,58600.0,2.950629532441512,Otto Matic,0.48129,,2641.16195691253,,,,,45 Eugenia,,5.7392e-06,J2000,,2.168,-41939970600.0,0.045,580.096802,N,N,6.8867e-09,,3236995665.663421,2000045.0,3.8528e-05,3.4351e-06,1639.317738991549,a0000045,,55608.0,,132.0780978456265,4.48820736205763,7.6882e-10,20190427.0,102.0,6.3505e-09,3.2498e-05,,3.4073e-08,0.0,5.699,,0.07,2018-08-18,7.46,50262384749.44499,,FC,2458600.5,3208.0,1.4906,,C,0.08443837415752818,0.3890359,20181103.2996272,45.0,MBA,0.274,2.720882627132943,3.344,147.6084190186866,38.36482257664071,Eugenia,6.603526557194116,2458425.7996272133,,0.676,C,2.491135721824373,88.16802085724791,2.06419,0.219603553013133,2.0782e-05,1866-05-19,,9.4516e-08,
0.00013288,216.473,58600.0,3.335394946383645,Otto Matic,0.53516,,2633.5365313400835,,,,,48 Doris,,8.2975e-06,J2000,,4.757,-48270532200.00001,0.065,742.6881363,N,N,9.2097e-09,,3714842429.771509,2000048.0,3.8604e-05,3.1238e-06,2003.35292010314,a0000048,,57942.0,,131.6968265670042,5.48488136920778,7.4428e-10,20190427.0,167.0,8.5876e-09,3.0257e-05,,3.0349e-08,0.0,11.89,,,2018-10-18,6.9,57849159805.96499,,CG,2458600.5,2594.0,1.90839,,Ch,0.07244388040008176,0.4477583,20180405.9383794,48.0,MBA,0.442,3.110088096301463,3.205,183.5539771494624,69.37478764636703,Doris,6.547416488631697,2458214.438379409,,0.716,Ch,2.884781246219282,253.0539222319485,1.88458,0.1796987422373217,2.3888e-05,1860-02-27,,9.5001e-08,
