id,area,competition_name,season_start_date,season_end_date,winner
2006,Africa,WC Qualification,2015-10-07,2017-11-14,None
2025,Argentina,Supercopa Argentina,2019-04-04,2019-04-04,None
2023,Argentina,Primera B Nacional,2019-08-16,2020-06-14,None
2024,Argentina,Superliga Argentina,2019-07-27,2020-03-01,None
2147,Asia,WC Qualification,2019-06-06,2021-11-16,None
2026,Australia,FFA Cup,2019-02-14,2019-10-31,None
2008,Australia,A League,2019-10-11,2020-05-17,None
2022,Austria,Playoffs 1/2,2018-05-31,2018-06-03,SKN Sankt Pölten
2012,Austria,Bundesliga,2019-07-22,2020-05-26,None
2027,Austria,ÖFB Cup,2019-07-14,2020-05-01,None
2020,Austria,Erste Liga,2019-07-21,2020-05-29,None
2010,Belgium,Supercoupe de Belgique,2019-07-20,2019-07-20,None
2033,Belgium,Division 1B,2019-08-02,2019-05-31,None
2009,Belgium,Jupiler Pro League,2019-07-26,2020-05-24,None
2028,Belgium,Coupe de Belgique,2019-07-28,2020-05-31,None
2032,Belgium,Playoffs II,2018-03-31,2018-05-23,None
2034,Bolivia,LFPB,2019-01-20,2019-12-31,None
2035,Bosnia and Herzegovina,Premier Liga,2019-07-20,2020-05-30,None
2013,Brazil,Série A,2019-04-28,2019-12-08,None
2029,Brazil,Série B,2019-04-26,2019-11-30,None
2037,Brazil,Copa do Brasil,2019-02-06,2019-09-11,None
2038,Brazil,Série D,2019-04-05,2019-08-18,None
2036,Brazil,Série C,2019-04-27,2019-10-06,None
2039,Bulgaria,Kupa na Bulgarija,2018-09-25,2019-05-31,None
2040,Bulgaria,A PFG,2019-07-12,2020-05-30,None
2041,Canada,Canadian Championship,2019-05-15,2019-09-25,None
2042,Chile,Playoffs 1/2,2017-11-25,2017-12-21,None
2043,Chile,Supercopa de Chile,2019-03-23,2019-03-23,None
2048,Chile,Primera División,2019-02-17,2019-12-07,None
2044,China PR,Chinese Super League,2019-03-01,2019-12-01,None
2046,Colombia,Superliga de Colombia,2019-01-24,2019-01-27,None
2045,Colombia,Liga Postobón,2019-01-27,2019-12-14,None
2047,Croatia,Prva Liga,2019-07-20,2020-05-17,None
2049,Czech Republic,Synot Liga,2019-07-13,2020-06-01,None
2050,Denmark,Superliga,2019-07-12,2020-05-30,None
2051,Denmark,DBU Pokalen,2019-08-06,2020-05-30,None
2052,Ecuador,Copa Pilsener Serie A,2019-02-10,2019-12-15,None
2021,England,Premier League,2019-08-09,2020-05-17,None
