id,tla,name,founded,venue,website
1765,FLU,Fluminense FC,1902,Estadio Jornalista Mário Filho,http://www.fluminense.com.br
1766,CAM,CA Mineiro,1908,Estádio Raimundo Sampaio,http://www.atletico.com.br
1767,GRE,Grêmio FBPA,1903,Arena do Grêmio,http://www.gremio.net
1768,CAP,CA Paranaense,1924,Estádio Joaquim Américo Guimarães,http://www.atleticoparanaense.com
1769,PAL,SE Palmeiras,1914,Allianz Parque,http://www.palmeiras.com.br
1770,BOT,Botafogo FR,1904,Estádio Nilton Santos,http://www.botafogo.com.br
1771,CRU,Cruzeiro EC,1921,Estádio Governador Magalhães Pinto,http://www.cruzeiro.com.br
1772,CHA,Chapecoense AF,1973,Arena Condá,http://www.chapecoense.com
1775,AVA,Avaí FC,1923,Estádio Aderbal Ramos da Silva,http://www.avai.com.br
1776,SAO,São Paulo FC,1930,Estádio do Morumbi,http://www.saopaulofc.net
1777,BAH,EC Bahia,1931,Itaipava Arena Fonte Nova,http://www.esporteclubebahia.com.br
1779,COR,SC Corinthians Paulista,1910,Arena Corinthians,http://www.corinthians.com.br
1780,VAS,CR Vasco da Gama,1898,Estádio Club de Regatas Vasco da Gama,http://www.vasco.com.br
1783,FLA,CR Flamengo,1895,Estadio Jornalista Mário Filho,http://www.flamengo.com.br
1837,CSC,Ceará SC,1914,Estádio Castelão,http://www.cearasc.com
3984,FEC,Fortaleza EC,1918,Estádio Castelão,http://www.fortalezaec.net
4244,CSA,CS Alagoano,1913,Estádio Rei Pelé,http://www.centrosportivoalagoano.com
4250,GOI,Goiás EC,1943,Estádio de Hailé Pinheiro,http://www.goiasec.com.br
6684,INT,SC Internacional,1909,Estádio José Pinheiro Borba,http://www.internacional.com.br
6685,SAN,Santos FC,1912,Estádio Urbano Caldeira,http://santosfc.com.br
