ranking,rating,movie_name,release_year,total_reviews
1,97,Black Panther,2018,486
2,99,Lady Bird,2017,377
3,100,Citizen Kane,1941,83
4,98,The Wizard of Oz,1939,115
5,96,BlacKkKlansman,2018,410
6,98,Get Out,2017,360
7,97,Mad Max: Fury Road,2015,408
8,99,The Third Man,1949,79
9,98,Moonlight,2016,364
10,100,Modern Times,1936,56
11,98,Casablanca,1942,82
12,93,Wonder Woman,2017,437
13,98,Inside Out,2015,357
14,98,It Happened One Night,1934,57
15,99,Eighth Grade,2018,293
16,100,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),1920,50
17,98,E.T. The Extra-Terrestrial,1982,128
18,97,Coco,2017,329
19,92,Dunkirk,2017,437
20,95,A Quiet Place,2018,361
21,100,All About Eve,1950,66
22,97,Spotlight,2015,357
23,99,Selma,2014,300
24,91,Star Wars: The Last Jedi,2017,452
25,97,La Grande illusion (Grand Illusion),1938,66
26,92,The Shape of Water,2017,423
27,93,Thor: Ragnarok,2017,402
28,94,Arrival,2016,409
29,98,The Big Sick,2017,288
30,100,The Bride of Frankenstein,1935,44
31,98,The Godfather,1972,91
32,93,Logan,2017,396
33,98,Metropolis,1927,124
34,100,Paddington 2,2018,235
35,98,King Kong,1933,59
36,94,Incredibles 2,2018,359
37,98,Snow White and the Seven Dwarfs,1937,49
38,100,Laura,1944,61
39,95,Call Me by Your Name,2018,336
40,100,Singin' in the Rain,1952,52
41,96,Gravity,2013,345
42,93,Star Wars: Episode VII - The Force Awakens,2015,418
43,97,Boyhood,2014,312
44,100,The Maltese Falcon,1941,54
45,100,Leave No Trace,2018,218
46,100,The Adventures of Robin Hood,1938,46
47,97,Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire),1922,63
48,96,Manchester by the Sea,2016,334
49,98,A Hard Day's Night,1964,107
50,96,Argo,2012,347
51,95,12 Years a Slave,2013,358
52,99,The Battle of Algiers (La Battaglia di Algeri),1967,85
53,93,Baby Driver,2017,364
54,100,The Philadelphia Story,1940,60
55,94,War for the Planet of the Apes,2017,340
56,96,The Florida Project,2017,294
57,96,Psycho,1960,92
58,91,La La Land,2016,434
59,97,Alien,1979,117
60,92,Spider-Man: Homecoming,2017,375
61,98,Sunset Boulevard,1950,62
62,99,The Night of the Hunter,1955,69
63,99,North by Northwest,1959,74
64,100,Seven Samurai (Shichinin no Samurai),1956,61
65,98,Won't You Be My Neighbor?,2018,232
66,98,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief),1949,59
67,100,Rear Window,1954,65
68,97,Zootopia,2016,277
69,100,Toy Story 2,1999,169
70,100,Rebecca,1940,54
71,98,Taxi Driver,1976,84
72,100,M,1931,53
73,98,Up,2009,293
74,97,Hell or High Water,2016,273
75,96,Touch of Evil,1958,76
76,95,The Jungle Book,2016,315
77,100,All Quiet on the Western Front,1930,43
78,98,Toy Story 3,2010,304
79,100,Pinocchio,1940,51
80,100,Kind Hearts and Coronets,1949,44
81,98,Lawrence of Arabia,1962,84
82,96,Vertigo,1958,73
83,98,A Streetcar Named Desire,1951,56
84,98,The Babadook,2014,233
85,98,Jaws,1975,80
86,100,The 400 Blows (Les Quatre cents coups),1959,58
87,97,Brooklyn,2015,263
88,94,The Dark Knight,2008,334
89,100,The Treasure of the Sierra Madre,1948,46
90,90,Three Billboards Outside Ebbing, Missouri,2017,389
91,99,Finding Nemo,2003,263
92,100,12 Angry Men (Twelve Angry Men),1957,50
93,91,Captain America: Civil War,2016,395
94,96,The 39 Steps,1935,46
95,97,The Big Sleep,1946,63
96,97,Double Indemnity,1944,60
97,98,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,1964,85
98,99,Chinatown,1974,68
99,98,The Lady Vanishes,1938,43
100,94,Finding Dory,2016,319
